Id,URL,Host,Path,Status,Status Code,Method,Content Type,Client Name,Client Address,Remote Address,Request Start Time,Request End Time,Request Duration (ms),Response Start Time,Response End Time,Response Duration (ms),Duration (ms),Time Complete,Request Body Size (bytes),Response Body Size (bytes),Compressed Request Size (bytes),Compressed Response Size (bytes),Comment,Server IP Address,Server Certificate - Common Name,Server Certificate - DNSs,GraphQL Query Name
2755,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=105.SPY&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,text/plain,WeChatAppEx Helper,127.0.0.1:49336,push2delay.eastmoney.com - ::1:7892,12:56:51.406,12:56:51.406,0,12:56:51.422,12:56:51.422,0,16,12:56:51.422,0,91,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2754,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=105.QQQ&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49711,push2delay.eastmoney.com - ::1:7892,12:56:51.406,12:56:51.406,0,12:56:51.426,12:56:51.426,0,20,12:56:51.426,0,306,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2753,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.YM00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49339,push2delay.eastmoney.com - ::1:7892,12:56:51.406,12:56:51.406,0,12:56:51.423,12:56:51.423,0,17,12:56:51.423,0,296,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2752,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.ES00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49337,push2delay.eastmoney.com - ::1:7892,12:56:51.406,12:56:51.406,0,12:56:51.424,12:56:51.424,0,18,12:56:51.424,0,289,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2751,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.NQ00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49338,push2delay.eastmoney.com - ::1:7892,12:56:51.406,12:56:51.406,0,12:56:51.423,12:56:51.423,0,17,12:56:51.423,0,297,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2750,"https://qt.gtimg.cn/q=sh000001,sz399001,sz399006,sz000688",qt.gtimg.cn,"/q=sh000001,sz399001,sz399006,sz000688",Completed,200,GET,text/html; charset=GBK,WeChatAppEx Helper,127.0.0.1:49715,qt.gtimg.cn - ::1:7892,12:56:51.406,12:56:51.406,0,12:56:51.457,12:56:51.457,0,52,12:56:51.457,0,1898,0,849,,qt.gtimg.cn - ::1:7892,Proxyman CA,qt.gtimg.cn,
2749,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=133.USDCNH&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49335,push2delay.eastmoney.com - ::1:7892,12:56:51.405,12:56:51.405,0,12:56:51.422,12:56:51.422,0,17,12:56:51.422,0,292,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2748,"https://hq.sinajs.cn/rn=1787288211398&list=gb_qqq,gb_spy,gb_dia",hq.sinajs.cn,"/rn=1787288211398&list=gb_qqq,gb_spy,gb_dia",Completed,200,GET,application/javascript; charset=GB18030,WeChatAppEx Helper,127.0.0.1:50435,hq.sinajs.cn - ::1:7892,12:56:51.405,12:56:51.405,0,12:56:51.439,12:56:51.439,0,34,12:56:51.439,0,981,0,491,,hq.sinajs.cn - ::1:7892,Proxyman CA,hq.sinajs.cn,
2747,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=105.SPY&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,text/plain,WeChatAppEx Helper,127.0.0.1:49336,push2delay.eastmoney.com - ::1:7892,12:56:50.423,12:56:50.423,0,12:56:50.438,12:56:50.438,0,15,12:56:50.438,0,91,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2746,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=105.QQQ&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49711,push2delay.eastmoney.com - ::1:7892,12:56:50.423,12:56:50.423,0,12:56:50.447,12:56:50.447,0,25,12:56:50.447,0,306,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2745,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.YM00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49337,push2delay.eastmoney.com - ::1:7892,12:56:50.422,12:56:50.422,0,12:56:50.447,12:56:50.447,0,25,12:56:50.447,0,296,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2744,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.ES00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49335,push2delay.eastmoney.com - ::1:7892,12:56:50.421,12:56:50.422,1,12:56:50.770,12:56:50.770,0,349,12:56:50.770,0,289,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2743,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.NQ00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49338,push2delay.eastmoney.com - ::1:7892,12:56:50.419,12:56:50.419,0,12:56:50.447,12:56:50.447,0,28,12:56:50.447,0,297,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2742,"https://qt.gtimg.cn/q=sh000001,sz399001,sz399006,sz000688",qt.gtimg.cn,"/q=sh000001,sz399001,sz399006,sz000688",Completed,200,GET,text/html; charset=GBK,WeChatAppEx Helper,127.0.0.1:49715,qt.gtimg.cn - ::1:7892,12:56:50.418,12:56:50.419,0,12:56:50.465,12:56:50.465,0,46,12:56:50.465,0,1898,0,849,,qt.gtimg.cn - ::1:7892,Proxyman CA,qt.gtimg.cn,
2740,"https://hq.sinajs.cn/rn=1787288210403&list=gb_qqq,gb_spy,gb_dia",hq.sinajs.cn,"/rn=1787288210403&list=gb_qqq,gb_spy,gb_dia",Completed,200,GET,application/javascript; charset=GB18030,WeChatAppEx Helper,127.0.0.1:50435,hq.sinajs.cn - ::1:7892,12:56:50.418,12:56:50.419,1,12:56:50.458,12:56:50.458,0,40,12:56:50.458,0,981,0,491,,hq.sinajs.cn - ::1:7892,Proxyman CA,hq.sinajs.cn,
2741,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=133.USDCNH&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49339,push2delay.eastmoney.com - ::1:7892,12:56:50.418,12:56:50.418,0,12:56:50.447,12:56:50.447,0,29,12:56:50.447,0,292,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2739,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=105.SPY&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,text/plain,WeChatAppEx Helper,127.0.0.1:49336,push2delay.eastmoney.com - ::1:7892,12:56:49.419,12:56:49.419,0,12:56:49.436,12:56:49.436,0,17,12:56:49.436,0,91,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2738,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=105.QQQ&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49711,push2delay.eastmoney.com - ::1:7892,12:56:49.419,12:56:49.419,0,12:56:49.443,12:56:49.443,0,24,12:56:49.443,0,306,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2737,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.YM00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49339,push2delay.eastmoney.com - ::1:7892,12:56:49.419,12:56:49.419,0,12:56:49.443,12:56:49.443,0,24,12:56:49.443,0,296,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2736,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.ES00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49337,push2delay.eastmoney.com - ::1:7892,12:56:49.419,12:56:49.419,0,12:56:49.443,12:56:49.443,0,24,12:56:49.443,0,289,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2735,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.NQ00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49338,push2delay.eastmoney.com - ::1:7892,12:56:49.418,12:56:49.418,0,12:56:49.443,12:56:49.443,0,25,12:56:49.443,0,297,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2734,"https://qt.gtimg.cn/q=sh000001,sz399001,sz399006,sz000688",qt.gtimg.cn,"/q=sh000001,sz399001,sz399006,sz000688",Completed,200,GET,text/html; charset=GBK,WeChatAppEx Helper,127.0.0.1:49715,qt.gtimg.cn - ::1:7892,12:56:49.418,12:56:49.418,0,12:56:49.472,12:56:49.472,0,54,12:56:49.472,0,1898,0,849,,qt.gtimg.cn - ::1:7892,Proxyman CA,qt.gtimg.cn,
2733,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=133.USDCNH&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49335,push2delay.eastmoney.com - ::1:7892,12:56:49.418,12:56:49.418,0,12:56:49.443,12:56:49.443,0,25,12:56:49.443,0,292,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2732,"https://hq.sinajs.cn/rn=1787288209403&list=gb_qqq,gb_spy,gb_dia",hq.sinajs.cn,"/rn=1787288209403&list=gb_qqq,gb_spy,gb_dia",Completed,200,GET,application/javascript; charset=GB18030,WeChatAppEx Helper,127.0.0.1:50435,hq.sinajs.cn - ::1:7892,12:56:49.417,12:56:49.417,0,12:56:49.457,12:56:49.457,0,40,12:56:49.457,0,981,0,491,,hq.sinajs.cn - ::1:7892,Proxyman CA,hq.sinajs.cn,
2731,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=105.SPY&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,text/plain,WeChatAppEx Helper,127.0.0.1:49339,push2delay.eastmoney.com - ::1:7892,12:56:48.416,12:56:48.416,0,12:56:48.525,12:56:48.525,0,109,12:56:48.525,0,91,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2730,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=105.QQQ&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49338,push2delay.eastmoney.com - ::1:7892,12:56:48.416,12:56:48.416,0,12:56:48.525,12:56:48.525,0,109,12:56:48.525,0,306,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2729,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.YM00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49711,push2delay.eastmoney.com - ::1:7892,12:56:48.416,12:56:48.416,0,12:56:48.525,12:56:48.525,0,109,12:56:48.525,0,296,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2728,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.ES00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49336,push2delay.eastmoney.com - ::1:7892,12:56:48.415,12:56:48.415,0,12:56:48.520,12:56:48.520,0,105,12:56:48.520,0,289,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2727,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=103.NQ00Y&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49337,push2delay.eastmoney.com - ::1:7892,12:56:48.415,12:56:48.415,0,12:56:48.525,12:56:48.525,0,110,12:56:48.525,0,297,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
2726,"https://qt.gtimg.cn/q=sh000001,sz399001,sz399006,sz000688",qt.gtimg.cn,"/q=sh000001,sz399001,sz399006,sz000688",Completed,200,GET,text/html; charset=GBK,WeChatAppEx Helper,127.0.0.1:49715,qt.gtimg.cn - ::1:7892,12:56:48.415,12:56:48.415,0,12:56:48.541,12:56:48.541,0,127,12:56:48.541,0,1898,0,849,,qt.gtimg.cn - ::1:7892,Proxyman CA,qt.gtimg.cn,
2725,"https://push2delay.eastmoney.com/api/qt/stock/get?fltt=2&invt=2&secid=133.USDCNH&fields=f43,f44,f45,f46,f47,f48,f50,f57,f58,f60,f86,f107,f152,f169,f170",push2delay.eastmoney.com,/api/qt/stock/get,Completed,200,GET,application/json; charset=UTF-8,WeChatAppEx Helper,127.0.0.1:49335,push2delay.eastmoney.com - ::1:7892,12:56:48.413,12:56:48.415,2,12:56:48.820,12:56:48.820,0,408,12:56:48.820,0,292,0,0,,push2delay.eastmoney.com - ::1:7892,Proxyman CA,push2delay.eastmoney.com,
